Field,Type,Null,Key,Default,Extra
age,bigint,YES,,,
floor,bigint,YES,,,
excluUseAr,double,YES,,,
is_presale,bigint,YES,,,
is_reconstruction_candidate,bigint,YES,,,
deal_month,bigint,YES,,,
deal_year,bigint,YES,,,
price_per_area,double,YES,,,
aptNm_encoded,double,YES,,,
area_group_국민평형,tinyint(1),YES,,,
area_group_중형,tinyint(1),YES,,,
area_group_대형,tinyint(1),YES,,,
area_group_초대형,tinyint(1),YES,,,
gu_name_seocho,tinyint(1),YES,,,
umdNm_내곡동,tinyint(1),YES,,,
umdNm_논현동,tinyint(1),YES,,,
umdNm_대치동,tinyint(1),YES,,,
umdNm_도곡동,tinyint(1),YES,,,
umdNm_반포동,tinyint(1),YES,,,
umdNm_방배동,tinyint(1),YES,,,
umdNm_삼성동,tinyint(1),YES,,,
umdNm_서초동,tinyint(1),YES,,,
umdNm_세곡동,tinyint(1),YES,,,
umdNm_수서동,tinyint(1),YES,,,
umdNm_신사동,tinyint(1),YES,,,
umdNm_신원동,tinyint(1),YES,,,
umdNm_압구정동,tinyint(1),YES,,,
umdNm_양재동,tinyint(1),YES,,,
umdNm_역삼동,tinyint(1),YES,,,
umdNm_우면동,tinyint(1),YES,,,
umdNm_율현동,tinyint(1),YES,,,
umdNm_일원동,tinyint(1),YES,,,
umdNm_자곡동,tinyint(1),YES,,,
umdNm_잠원동,tinyint(1),YES,,,
umdNm_청담동,tinyint(1),YES,,,
predicted_price_per_area,double,YES,,,
gap_ratio,double,YES,,,
risk_grade,text,YES,,,
